2020-07-16 15:16:03 install libgl1:amd64 <none> 1.1.0-1
2020-07-16 15:16:03 status half-installed libgl1:amd64 1.1.0-1
2020-07-16 15:16:03 status unpacked libgl1:amd64 1.1.0-1
2020-07-16 15:16:03 install libgraphite2-3:amd64 <none> 1.3.13-7
2020-07-16 15:16:03 status half-installed libgraphite2-3:amd64 1.3.13-7
2020-07-16 15:16:03 status unpacked libgraphite2-3:amd64 1.3.13-7
2020-07-16 15:16:03 install libharfbuzz0b:amd64 <none> 2.3.1-1
2020-07-16 15:16:03 status half-installed libharfbuzz0b:amd64 2.3.1-1
2020-07-16 15:16:03 status unpacked libharfbuzz0b:amd64 2.3.1-1
2020-07-16 15:16:03 install x11-common:all <none> 1:7.7+19
2020-07-16 15:16:03 status half-installed x11-common:all 1:7.7+19
2020-07-16 15:16:03 status triggers-pending systemd:amd64 241-7~deb10u4
2020-07-16 15:16:03 status unpacked x11-common:all 1:7.7+19
2020-07-16 15:16:03 install libice6:amd64 <none> 2:1.0.9-2
2020-07-16 15:16:03 status half-installed libice6:amd64 2:1.0.9-2
2020-07-16 15:16:03 status unpacked libice6:amd64 2:1.0.9-2
2020-07-16 15:16:03 install libevdev2:amd64 <none> 1.6.0+dfsg-1
2020-07-16 15:16:03 status half-installed libevdev2:amd64 1.6.0+dfsg-1
2020-07-16 15:16:03 status unpacked libevdev2:amd64 1.6.0+dfsg-1
2020-07-16 15:16:03 install libmtdev1:amd64 <none> 1.1.5-1+b1
2020-07-16 15:16:03 status half-installed libmtdev1:amd64 1.1.5-1+b1
2020-07-16 15:16:03 status unpacked libmtdev1:amd64 1.1.5-1+b1
2020-07-16 15:16:03 install libgudev-1.0-0:amd64 <none> 232-2
2020-07-16 15:16:03 status half-installed libgudev-1.0-0:amd64 232-2
2020-07-16 15:16:03 status unpacked libgudev-1.0-0:amd64 232-2
2020-07-16 15:16:03 install libwacom-common:all <none> 0.32-1
2020-07-16 15:16:03 status half-installed libwacom-common:all 0.32-1
2020-07-16 15:16:03 status unpacked libwacom-common:all 0.32-1
2020-07-16 15:16:03 install libwacom2:amd64 <none> 0.32-1
2020-07-16 15:16:03 status half-installed libwacom2:amd64 0.32-1
2020-07-16 15:16:03 status unpacked libwacom2:amd64 0.32-1
2020-07-16 15:16:03 install libinput-bin:amd64 <none> 1.12.6-2
2020-07-16 15:16:03 status half-installed libinput-bin:amd64 1.12.6-2
2020-07-16 15:16:03 status unpacked libinput-bin:amd64 1.12.6-2
2020-07-16 15:16:04 install libinput10:amd64 <none> 1.12.6-2
2020-07-16 15:16:04 status half-installed libinput10:amd64 1.12.6-2
2020-07-16 15:16:04 status unpacked libinput10:amd64 1.12.6-2
2020-07-16 15:16:04 install libjpeg62-turbo:amd64 <none> 1:1.5.2-2+b1
2020-07-16 15:16:04 status half-installed libjpeg62-turbo:amd64 1:1.5.2-2+b1
2020-07-16 15:16:04 status unpacked libjpeg62-turbo:amd64 1:1.5.2-2+b1
2020-07-16 15:16:04 install libdbus-1-3:amd64 <none> 1.12.16-1
2020-07-16 15:16:04 status half-installed libdbus-1-3:amd64 1.12.16-1
2020-07-16 15:16:04 status unpacked libdbus-1-3:amd64 1.12.16-1
2020-07-16 15:16:04 install libqt5dbus5:amd64 <none> 5.11.3+dfsg1-1+deb10u3
2020-07-16 15:16:04 status half-installed libqt5dbus5:amd64 5.11.3+dfsg1-1+deb10u3
2020-07-16 15:16:04 status unpacked libqt5dbus5:amd64 5.11.3+dfsg1-1+deb10u3
2020-07-16 15:16:04 install libqt5network5:amd64 <none> 5.11.3+dfsg1-1+deb10u3
2020-07-16 15:16:04 status half-installed libqt5network5:amd64 5.11.3+dfsg1-1+deb10u3
2020-07-16 15:16:04 status unpacked libqt5network5:amd64 5.11.3+dfsg1-1+deb10u3
2020-07-16 15:16:04 install libsm6:amd64 <none> 2:1.2.3-1
2020-07-16 15:16:04 status half-installed libsm6:amd64 2:1.2.3-1
2020-07-16 15:16:04 status unpacked libsm6:amd64 2:1.2.3-1
2020-07-16 15:16:04 install libxcb-icccm4:amd64 <none> 0.4.1-1.1
2020-07-16 15:16:04 status half-installed libxcb-icccm4:amd64 0.4.1-1.1
